"","edge_liked_by.count","edge_media_to_caption.edges","shortcode","tags","Year"
"11",37,"[{'node': {'text': 'Our students travel from all over North East Africa to study at NEATS, and now YOU can get an inside look!\n—\nTake a tour on our IGTV of the main campus with none other than our National Director, David Kaya!\n.\n.\n.\n.\np/c @snowzell • #missions #missionary #unreached #reachtheunreached #untilthewholeworldhears #forthechurch #jesusislife #pastor #churches #discipleship #EmpowerOne #leadership #leadershipdevelopment #leadershiptraining #seminary #seminarylife #NorthEastAfricaTheologicalSeminary #e1unlikely #southsudan #northeastafrica #sudan #refugees #africa #thisisafrica #everydayafrica'}}]","BwVXDZNnGue","['missionary', 'discipleship', 'africa', 'churches', 'untilthewholeworldhears', 'southsudan', 'refugees', 'thisisafrica', 'leadership', 'leadershipdevelopment', 'e1unlikely', 'pastor', 'leadershiptraining', 'northeastafrica', 'missions', 'sudan', 'seminarylife', 'jesusislife', 'EmpowerOne', 'everydayafrica', 'reachtheunreached', 'unreached', 'forthechurch', 'NorthEastAfricaTheologicalSeminary', 'seminary']","2019"
"12",44,"[{'node': {'text': 'Don\'t judge each day by the harvest you reap but by the seeds that you plant.""\n- Robert Louis Stevenson\n#Family\n#travel \n#charity \n#SouthSudan'}}]","BwTowjPF2_A","['SouthSudan', 'travel', 'charity', 'Family']","2019"
"13",39,"[{'node': {'text': 'A traves de uno de esos menores que mediaset nos ayudó a mostrar al mundo, seguimos contando la realidad de los 60 millones de desplazados forzosos alrededor del mundo.\nwww.victormandela.org #refugiadosBidibidi #TuMuradaCambiaElMundo #victorMandelaPhoto\n\n# Repost @12_meses with @get_repost\n・・・\nTekile, #Kuhli o #VíctorMandela son menores que han perdido su #infancia huyendo de #guerras y acabando en #CamposDeRefugiados o #secuestrados\xa0por redes criminales de trata de seres humanos.\n👉En el #DíaDelNiño queremos\xa0recordar la importancia de proteger los derechos de la infancia para #CambiarSuHistoria y #CrearUnFuturo de #MenoresBienAcompañados\n.\n#infancia #child #childhood #menores #derechos #rightshumans #refugiados #historia #proteccion #camporefugiados'}}]","BwSl2TKAHth","['historia', 'victorMandelaPhoto', 'infancia', 'CrearUnFuturo', 'Kuhli', 'MenoresBienAcompañados', 'menores', 'VíctorMandela', 'camporefugiados', 'refugiadosBidibidi', 'CamposDeRefugiados', 'refugiados', 'rightshumans', 'secuestrados', 'derechos', 'TuMuradaCambiaElMundo', 'child', 'guerras', 'DíaDelNiño', 'childhood', 'proteccion', 'CambiarSuHistoria']","2019"
"14",22,"[{'node': {'text': 'artolution • education above all'}}]","BwRcdsgljCO","[]","2019"
"15",25,"[{'node': {'text': 'Food for thought!!'}}]","BwRW1Y_nYh4","[]","2019"
"16",106,"[{'node': {'text': 'An animal fiesta in the South Sudanese refugee settlement Bidibidi! Another of our recent creations with local artists and children.\n@artolution @unhcruganda #animals #southsudan #uganda #refugeeart #streetartuganda #animalart #longhorn #joelartista'}}]","BwP9pKxH7L0","['streetartuganda', 'refugeeart', 'southsudan', 'animalart', 'longhorn', 'joelartista', 'uganda', 'animals']","2019"
"17",53,"[{'node': {'text': 'En Bidi Bidi estamos atendiendo a la población más vulnerable de la zona que nos ha sido asignada. Estas personas, en su mayoría mujeres embarazadas, niños y ancianos, han llegado al campo huyendo de la dramática situación de Sudán del Sur. Allí han dejado sus campos, sus casas e incluso a sus difuntos. Tras la huida, sin comida ni agua potable, la mayoría han enfermado o están heridos, por lo que ya no tienen fuerzas ni para ir al hospital situado a varios kilómetros de sus viviendas. África Directo con @idiwaka y los Marian brothers realizan campañas de clínicas móviles, recorriendo el campo, diagnosticado y tratando a enfermos, desnutridos, heridos, embarazadas....\n•••\n#AfricaDirecto #ONG #Africa #Voluntarios #Colaboración #Proyectos #BidiBidi #Uganda #refugees #ClinicaMobil'}}]","BwJj0hMIOM2","['Africa', 'refugees', 'BidiBidi', 'AfricaDirecto', 'Proyectos', 'Uganda', 'ClinicaMobil', 'Voluntarios', 'Colaboración', 'ONG']","2019"
"18",75,"[{'node': {'text': 'Lecture prep for tonight. I always find something new when I go back for another edit round. From Bidi bidi refugee resettlement in northern Uganda with @treanapeake for @obakkifoundation Thanks to all the fine young ladies who agreed to be photographed. Masters Lecture Series for @beauphotostore @langaracsphoto @capturephotofest'}}]","BwFSh_phqWs","[]","2019"
"19",2434,"[{'node': {'text': '\u200c\nامروز در بیدی\u200cبیدی، دومین بزرگ\u200cترین کمپ پناهندگی در دنیا، هنوز هم میلایا (ملحفه\u200cهای گل\u200cدوزی شده) دوخته می\u200cشود. اما مشتری کمتری پیدا می\u200cشود.\n\nسیلاح می\u200cگوید به دردسرش می\u200cارزد. او می\u200cپرسد: «آیا تا ۱۰ سال به حال سودان جنوبی گریه کنیم؟ البته که نه. باید به آینده فکر کنیم.» عکاس: @noralorek\nبازنشر از @natgeo\n.\n.\n.\n#نشنال_جئوگرافیک_فارسی #نت_جئو_فارسی #نشنال_جئوگرافیک #کمپ #حیات_وحش #NatGeo #NationalGeographic'}}]","BwCeK_kFn8y","['NationalGeographic', 'نت_جئو_فارسی', 'حیات_وحش', 'کمپ', 'NatGeo', 'نشنال_جئوگرافیک', 'نشنال_جئوگرافیک_فارسی']","2019"
"20",48,"[{'node': {'text': 'We might be biased, but we think we have some of the BEST leaders in the world.\n—\nMoses, Mawa John, Sam and Christopher are a few of the men leading the way at our bible school, training and discipling the next generation of church planters.\n•\n•\n•\n•\np/c @snowzell • #missions #missionary #unreached #reachtheunreached #untilthewholeworldhears #forthechurch #jesusislife #pastor #churches #discipleship #EmpowerOne #leadership #leadershipdevelopment #leadershiptraining #seminary #seminarylife #NorthEastAfricaTheologicalSeminary #e1unlikely #southsudan #northeastafrica #sudan #refugees #africa #thisisafrica #everydayafrica'}}]","BwArLxdlbyG","['missionary', 'discipleship', 'africa', 'churches', 'untilthewholeworldhears', 'southsudan', 'refugees', 'thisisafrica', 'leadership', 'leadershipdevelopment', 'e1unlikely', 'pastor', 'leadershiptraining', 'northeastafrica', 'missions', 'sudan', 'seminarylife', 'jesusislife', 'EmpowerOne', 'everydayafrica', 'reachtheunreached', 'unreached', 'forthechurch', 'NorthEastAfricaTheologicalSeminary', 'seminary']","2019"
"21",1097,"[{'node': {'text': 'Little did I know when I was sitting at 4am in late 2016, entering pictures to the international competition College Photographer of the Year. Now I’m holding the latest issue of National Geographic Magazine with our 18 pages story.\n\nWinning CPOY and being given the chance to intern at National Geographic had such a huge impact on me as a person and photographer. Not knowing how many wonderful people, experience and joy it would bring into my life, I came to DC in summer 2017,  pitching a story on Bidibidi in Uganda. Back then I wasn’t even sure what the story would be about but felt that Bidibidi and its people deserved to be shown from different angle, to be seen as something more than just ’one of the world’s largest refugee camps’. I’m so grateful that @jamesbwellford and @roseleen saw a potential in it and gave me the chance to work on this. \nThree storys later, this assignment means such much to me and it’s an honor to be included in the Cities issue next to so many beautiful projects. \nIn about two weeks me and @ninasabina24 will launch a Kickstarter helping the women of Bidibidi exporting their beautifully embroidered bedspreads called milaya. Stay tuned and follow the @milayaproject!'}}]","BvwnqULh3Rj","[]","2019"
"22",30,"[{'node': {'text': '#Worship Service 🇸🇸 #PeaceForSouthSudan🇸🇸 #Uganda #Africa2018 #AfricaMyDear #Africa'}}]","BvpV1JyHVmd","['Africa2018', 'Africa', 'PeaceForSouthSudan', 'Worship', 'AfricaMyDear', 'Uganda']","2019"
"23",15,"[{'node': {'text': 'After the storm #Bidibidi #Refugeecamp #Uganda'}}]","Bvh6QzdgSFM","['Uganda', 'Bidibidi', 'Refugeecamp']","2019"
"24",17,"[{'node': {'text': '""Byeee"" #Bidibidi #Refugeecamp #Uganda #Southsudanese #kids'}}]","BveTWTcgD51","['Bidibidi', 'kids', 'Refugeecamp', 'Uganda', 'Southsudanese']","2019"
"25",27,"[{'node': {'text': 'Seeing hands raised and hearts opened to Christ all around the world..... to every tribe, tongue, and nation may God be the glory🙏🏽 #education #missions #opportunity #investment #africa #uganda #southsudan #refugee #Gospel #salvation #greatcommission'}}]","BvZtzgDHxc4","['greatcommission', 'southsudan', 'missions', 'opportunity', 'refugee', 'salvation', 'education', 'africa', 'uganda', 'investment', 'Gospel']","2019"
"26",73,"[{'node': {'text': 'Sound on Plz 🔊🔊🔊 Yesterday was World Water Day and in celebration of that, here’s a new piece I shot & edited recently from my trip to Uganda alongside my friend @paulburger for the @obakkifoundation.\n\nThis day and these moments were some of the most important for me to see & experience where I witnessed people filled with pure joy and happiness to have a new water well being drilled in their village for the first time. It hit me pretty hard on the spot when I realized how many people still live like this yet I get to have a limitless supply of bottled water anywhere I go. \nIt took a trip to another continent to a remote location and a camera to force me to see this reality for myself and because of that, I am responsible for making sure that I don’t take for granted the fact that I have the very basic things I need to survive. I am eternally grateful for this lesson and for being able to have the opportunity to do what I love and using that to share with people other realities around the world. Thank you @treanapeake. \nLiterally a 2 man crew so I had to keep gear as minimal as I could (or as much as I can fit into 1 bag) while still capturing a certain type of quality that I wanted. Decided to go with my @sonyprousa FS7 paired with the lovely @angenieuxlenses EZ cinema zooms. Very happy with the results 👌🏾'}}]","BvXE7ybApzt","[]","2019"
"27",230,"[{'node': {'text': 'Despite having survived the horrors of war and losing loved ones, the children, youth, and artists of South Sudan living in the Bidibidi refugee settlement have inspired #Artolution with their resilience, their smiles, and more - the way that they care for each other. Their passion to create art is 🔥and this is dance crew LXD, trained by Artolution artist @kj3t! You will not want to miss a single minute - we’re just getting started! With @joelartista @educationaboveall_eaa@unhcruganda #bidibidi #southsudanese #refugeeart #refugeemurals #uganda#streetartafrica #joelartista #artolution #bidibidirefugeesettlement #bidibidirefugeecamp #uganda #refugees #refugeeswelcome #withrefugees #standwithrefugees #unhcruganda #windleuganda#southsudanese #coexistance #southsudan #chimeforchange'}}]","BvSdgqFlAQ3","['windleuganda', 'withrefugees', 'bidibidirefugeesettlement', 'refugeeart', 'standwithrefugees', 'southsudan', 'streetartafrica', 'bidibidirefugeecamp', 'southsudanese', 'refugees', 'unhcruganda', 'refugeemurals', 'artolution', 'joelartista', 'chimeforchange', 'uganda', 'refugeeswelcome', 'Artolution', 'bidibidi', 'coexistance']","2019"
"28",780,"[{'node': {'text': 'After her husband was killed by fellow soldiers who suspected him of being a rebel, Angelina Nyanuba began the week-long walk from South Sudan to Uganda. Her son, Basir, was born shortly after in Bidibidi refugee camp. But her first son, who was staying with her parents when the war broke out, is still in South Sudan. “I’m wondering how he’s doing while I’m here enjoying the peace,” she says.\n\nThe civil war in South Sudan has displaced two million people. When refugees arrived to Uganda they carried their only possessions wrapped in milayas—ornately embroidered sheets that have been passed down for generations. Today, in Bidibidi, the second largest refugee camp in the world, milayas are still being sewn. But there are few customers.\n\nThe Milaya Project is a non-profit that will connect South Sudanese women with customers who want to support the traditional artform. A Kickstarter will fund women’s collectives in Bidibidi to expand their businesses and sell embroidered pillowcases, bedspreads, and wall hangings internationally.\n📸 by @noralorek 📝 by @ninasabina24'}}]","BvReVepHVEU","[]","2019"
"29",1297,"[{'node': {'text': 'Jesca Ropan lost her 3-year-old daughter Hellen when fleeing from South Sudan to Uganda. ”When my neighbor was killed I took my two children and started to walk towards the border. We didn’t have any clean water or food and on the second day Hellen died. I was devastated and wanted to go back but I knew I had to continue for my family.” Jesca Ropan, shown with her son Hammond Deniga, is the women’s representative for her village in Bidibidi and working as a caregiver at her children’s school. \nThree years ago the area containing the Bidibidi settlement was a forest in northwestern Uganda. Now it’s a makeshift home for a quarter million refugees who fled the civil war in South Sudan.'}}]","BvRVaLdg70i","[]","2019"
"30",28,"[{'node': {'text': 'Llega la primavera y con ella el #DíaInternacionalDeLosBosques, los árboles son una fuente de oxígeno y vida.\n\nDesde Nzuri Daima animamos a seguir haciendo crecer y cuidando a la Madre Tierra porque la Naturaleza no es un lugar a visitar, es nuestro hogar.🌳🌱🌷🌴🌲 Para ello, el proyecto de plantar árboles en los campos de refugiados permite recibir a la comunidad bajo su sombra cuando llegan los 40 grados. Desde aquí puedes colaborar para que plantemos un árbol en los campos de BidiBidi 👉\n\nEntra en la tienda y cumple deseos🌳🌳🌳\nhttps://nzuri-daima.org/tienda/sonrisas-africa/victor-mandela/arboles-frutales/\n\n#DíaInternacionalDeLosBosques #Refugees #Árboles #Trees #Home #NzuriDaima'}}]","BvRBL6FAPvu","['Trees', 'DíaInternacionalDeLosBosques', 'Home', 'Refugees', 'Árboles', 'NzuriDaima']","2019"
"31",154,"[{'node': {'text': 'We recognize the value of women’s voices in their communities, their countries, our world and the transformation that they bring as agents of change when given the opportunities to exist with equality and activate their inner strength. In Uganda’s Bidibidi Refugee settlement and around the world -  celebrating strong, resilient, creative women this month and every month. With @maxfrieder @unhcruganda @refugees @windleuganda @chimeforchange #artolution #bidibidirefugeesettlement #bidibidirefugeecamp #uganda #refugees #refugeeswelcome #withrefugees #standwithrefugees #unhcruganda #windleuganda#southsudanese #coexistance #southsudan #refugeeart #chimeforchange #gucci #balanceforbetter #internationalwomensday #iwd2019 #iwd'}}]","BvP26jcFWPS","['windleuganda', 'withrefugees', 'bidibidirefugeesettlement', 'standwithrefugees', 'southsudan', 'refugeeart', 'bidibidirefugeecamp', 'refugees', 'southsudanese', 'unhcruganda', 'chimeforchange', 'artolution', 'iwd2019', 'uganda', 'balanceforbetter', 'iwd', 'refugeeswelcome', 'gucci', 'internationalwomensday', 'coexistance']","2019"
"32",144,"[{'node': {'text': 'Despite having survived the horrors of war and losing loved ones, the children and artists of South Sudan have inspired me with their ability to still smile, care for each other and create art. Our artist team in the Bidibidi Refugee Settlement is just getting started— stay tuned to see their progress!\n@artolution @educationaboveall_eaa @unhcruganda #uganda #bidibidi #refugeeart #joelartista #artforpeace'}}]","BvPjX31BWEw","['refugeeart', 'joelartista', 'uganda', 'artforpeace', 'bidibidi']","2019"
"33",33,"[{'node': {'text': 'I kriser og konflikt opplever tenåringsjenter økt risiko for seksuell vold og barneekteskap. Likevel blir ungdom, og særlig jenter, nedprioritert.\u2063\n\u2063\nDette kan DU være med på å endre. Krev at Norge må prioritere ungdom i kriser! \u2063\nGi din signatur via vår link i bio! ⬅️ \u2063\n\u2063\nFra @uroplannorge sin kampanje 👊🏽⚡️'}}]","BvPQgsQDtOn","[]","2019"
"34",35,"[{'node': {'text': 'It’s #internationalhappinessday and we are thinking about what makes us happy.\n\nThe happiest people don’t have the best of everything. They just make the best of everything ❤️🌍 We are wishing you all a very happy day! .\n.\n.\n#choosehappy #reducedinequality #behappy #moments #uganda #feliz  #dayofhappiness #affordableandcleanenergy #goodhealthandwellbeing #content #chanceux #happier #makingtheworldhealthierandhappier #withrefugees'}}]","BvOtJTaHsV0","['happier', 'withrefugees', 'chanceux', 'makingtheworldhealthierandhappier', 'behappy', 'reducedinequality', 'affordableandcleanenergy', 'internationalhappinessday', 'feliz', 'choosehappy', 'uganda', 'moments', 'dayofhappiness', 'goodhealthandwellbeing', 'content']","2019"
"35",59,"[{'node': {'text': 'Installation of solar panels for powering our #ecoca clean #cook stove. Sunlight is a ready available source that is not only an economical #energy solution, but also a non polluting and environmentally harmful energy source.\n.\n.\n.\n#solar #solarpower #solarenergy #solarpanels #solarpowered #solarpanel #solarsystem #solarium #sol #soleil #dom #solares #solarcollective #solarcity #solare #solarlife #withrefugees #gosolar #solarpv #renewableenergy #energiafotovoltaica #photovoltaic #gogreen #solar24news #affordableandcleanenergy #sunshine #uganda'}}]","BvMpRSknnWi","['solarcity', 'solar24news', 'solares', 'cook', 'solar', 'energiafotovoltaica', 'sol', 'solarcollective', 'solare', 'dom', 'solarpv', 'gosolar', 'uganda', 'soleil', 'solarpanels', 'solarlife', 'solarpower', 'photovoltaic', 'energy', 'solarsystem', 'sunshine', 'solarpowered', 'solarenergy', 'ecoca', 'withrefugees', 'gogreen', 'affordableandcleanenergy', 'renewableenergy', 'solarium', 'solarpanel']","2019"
"36",126,"[{'node': {'text': ""“I shall be able to interact freely with others without fear of being isolated as a dirty person: Sometimes [we couldn't] wash our clothes for a long time because the little water [we had] was saved for cooking.” — Tabu (not pictured)\n\nAlongside our partner @unicef, we're working to restore dignity & health through safe water for refugees in Uganda and for all people. #WaterForAll #WorldWaterDay\n\nGive safe water: watermission.org/donate""}}]","BvKd-z7n9GC","['WorldWaterDay', 'WaterForAll']","2019"
"37",2383,"[{'node': {'text': 'In Uganda\'s Bidibidi refugee settlement, Rose Asha Sillah teaches embroidery and farming skills to about 400 women. In her workshop, they sew ""milayas,"" traditional South Sudanese bedsheets with ornate designs. \nThe civil war in South Sudan has displaced two million people. When refugees arrived to Uganda they carried their only possessions wrapped in milayas. Today in Bidibidi, the second largest refugee camp in the world, milayas are still being sewn. But there are few customers. Sillah thinks the struggle is worth it. ""Will we spent 10 years crying for South Sudan?"" she asks. ""We need to look forward."" Follow\xa0@milayaproject\xa0for more information on how to support these women. This story appears in the\xa0April 2019\xa0issue of\xa0National Geographic\xa0magazine.'}}]","BvHgIAgA-TU","[]","2019"
"38",54,"[{'node': {'text': 'Another family who will be using the #ecoca our #cleancookstove. Using the solar powered ECOCA means when #cooking there is no risk of air pollution related illnesses. This family will also no longer need to use fuel like coal and wood for cooking, saving great expenses. .\n.\n.\n#airpollution #affordableandcleanenergy #energyaccess #energysecurity #reducedinequality #climateaction #nopoverty #zerohunger #women #goodhealthandwellbeing #renewables #renewableenergy #solar #cleanenergy #green #globalgoals #family #womenshistorymonth #sustainabledevelopment #sdgs #womenempowerment #photovoltaic #mujeres #photography #technology #solarpowered #withrefugees'}}]","BvHJoqEn4sJ","['airpollution', 'cleanenergy', 'family', 'sdgs', 'energyaccess', 'solar', 'cleancookstove', 'sustainabledevelopment', 'globalgoals', 'womenempowerment', 'cooking', 'photovoltaic', 'technology', 'women', 'womenshistorymonth', 'climateaction', 'nopoverty', 'goodhealthandwellbeing', 'solarpowered', 'energysecurity', 'ecoca', 'withrefugees', 'mujeres', 'reducedinequality', 'affordableandcleanenergy', 'zerohunger', 'photography', 'renewableenergy', 'renewables', 'green']","2019"
"39",34,"[{'node': {'text': 'Cooking is normally a role carried out by women at the Bidibidi Refugee Settlement in Uganda. With insufficient cooking facilities means women are more prone to air pollution related from soot particles in smoke when cooking. We want to change this by providing our #cleancookstove the #ecoca to make sure whoever cooks has access to a clean alternative fuel source.\n.\n.\n.\n#airpollution #cleancookstoves #affordableandcleanenergy #energyaccess #energysecurity #reducedinequality #climateaction #nopoverty #zerohunger #goodhealthandwellbeing #renewables #renewableenergy #solar #cleanenergy #green #globalgoals #sustainabledevelopment #sdgs #cleancooking #cleancookingalliance'}}]","BvEc00CHvLd","['airpollution', 'cleanenergy', 'sdgs', 'energyaccess', 'solar', 'cleancookstove', 'sustainabledevelopment', 'globalgoals', 'cleancooking', 'cleancookstoves', 'cleancookingalliance', 'climateaction', 'nopoverty', 'goodhealthandwellbeing', 'energysecurity', 'ecoca', 'reducedinequality', 'affordableandcleanenergy', 'zerohunger', 'renewableenergy', 'renewables', 'green']","2019"
"40",59,"[{'node': {'text': '• GLORY & LOVE • \nThere is no measure to the glory and love of Christ. His heart for those who felt like outcasts and abandoned is unmatched. May we be people who seek after the heart of Christ and His heart for those in need. • GO THEREFORE • • ALL NATIONS • \n#allnations #justgo #send #children #missions #disciples #sacrifice #investment #opportunity #education #africa #global #uganda #refugee'}}]","BvC_rZWHdhM","['allnations', 'send', 'missions', 'opportunity', 'refugee', 'education', 'africa', 'uganda', 'global', 'investment', 'children', 'justgo', 'sacrifice', 'disciples']","2019"
"41",39,"[{'node': {'text': 'One of our #solarpanels charging in the sun to be used later to power our #cleancookstove the #ecoca. We want to see a transformation in innovation when it comes to #energyaccess for everyone.\n.\n.\n.\n#solarenergy #renewableenergy #energysecurity #goodhealthandwellbeing #zerohunger #innovation #tech #technology #cleancooking #affordableandcleanenergy #reducedinequality #sun #energiapositiva #sol #climateaction #medioambiente #tb #solarpower #uganda #photovoltaic'}}]","BvCb9WlHSyj","['sun', 'energiapositiva', 'energyaccess', 'cleancookstove', 'sol', 'uganda', 'innovation', 'tb', 'solarpanels', 'solarpower', 'photovoltaic', 'cleancooking', 'technology', 'climateaction', 'goodhealthandwellbeing', 'solarenergy', 'energysecurity', 'ecoca', 'medioambiente', 'reducedinequality', 'affordableandcleanenergy', 'zerohunger', 'renewableenergy', 'tech']","2019"
"42",15,"[{'node': {'text': ""I’m for truth, no matter who tells it. I’m for justice, no matter who it is for or against. I’m a human being, first and foremost, and as such I’m for whoever and whatever benefits humanity as a whole. And surely I don't ever think finding my self in another field better than this🤞🏻 #Finnchurchaid\n#Livingsmiles""}}]","BvCbPDyHSM9","['Livingsmiles', 'Finnchurchaid']","2019"
"43",918,"[{'node': {'text': 'Unia Ataya represents the women of Zone 5 on the refugee council, where relief workers confer with camp leaders about residents’ concerns. In South Sudan she was a social worker. “The biggest challenges I hear of,” she says, “are all connected to giving birth.” Three years ago the area containing the Bidibidi settlement was a forest in northwestern Uganda. Now it’s a makeshift home for a quarter million refugees from South Sudan. \nThis story appears in the\xa0April 2019\xa0issue of\xa0National Geographic\xa0magazine.'}}]","BvBnf1SgVow","[]","2019"
